paper_uid_after_direct_w,ref_title,ref_author,ref_publisher_or_journal,ref_year
P00008283,低出産 時代의 人口政策,이시백,보건학논집,1992
P00008285,經濟開發과 人口政策 : 韓國의人口政策을 中心으로,최용식,經營論叢,1973
P00008304,21대 국회 의회외교 현황과 한미 의회외교 활성화방안,김도희,이슈와 논점,2023
P00008305,대미 의원외교의 논리와 한계,박재창,한국정치학회보,1998
P00008306,미국 의회와 한국 국회의원들의 외교정책 전문성 비교 연구,서정건,Oughtopia (오토피아),2015
P00008307,제19대 대통령 선거의 SNS 가짜뉴스(fakenews) 네트워크 분석,조하진,디지털콘텐츠학회논문지,2019
P00008308,국회의원외교협의회 충원과정 연구,최준영,한국정당학회보,2006
P00008334,미국헌법상 법률안거부권행사의 정당화사유,강승식,공법연구,2007
P00008335,대통령의 법률안 통제방안 -미국의 경험을 중심으로-,강승식,공법학연구,2013
P00008336,대통령의 법률안거부권제도의 문제점과 개선방안 - 임기만료로 인한 국회 폐회의 경우에 발생하는 특수문제를 중심으로 -,김광재,공법학연구,2018
P00008338,대통령 법률안거부권의 의의와 사례,김선화,이슈와 논점,2013
P00008339,대통령의 법률안거부권에 관한 고찰,김승열,법제,2008
P00008342,"거부권행사자, 의제설정자, 정당규율성과 입법효율성: 거부권행사자 이론 및 경험분석",문우진,한국정치학회보,2014
P00008344,대통령의 법률안거부권에 관한 새로운 헌법학적 고찰,박진우,가천법학,2015
P00008346,대통령의 국회입법관여의 개선방안 -정부제출안의 법률반영을 중심으로-,양정윤,법학연구,2017
P00008348,대통령의 법률안재의요구권제도,윤장근,법제연구,1995
P00008349,미국연방헌법과 한국헌법상의 법률안거부권제도 비교,이용재,법학연구,2010
P00008352,역대 대통령의 거부권 행사와 해외사례,전진영,이슈와 논점,2023
P00008353,대통령의 법률안 거부권 개선 방안에 관한 연구 - 한ㆍ미 헌법상 법률안거부권 규정을 중심으로 -,전찬희,미국헌법연구,2016
P00008354,한국 대통령의 법률안 거부권에 관한 연구:영향요인을 중심으로,전형철,행정논총,2005
P00008355,법률안거부권의 헌법적 의의,정철,세계헌법연구,2019
P00008356,대통령의 법률안거부권 행사 정당화 사유에 관한 헌법학적 일고찰: 새로운 유형의 ‘입법절차상 중대한 하자’ 출현의 대응을 중심으로,조원용,공법학연구,2023
P00008358,항목별거부권의 논리와 지방정부 : 미국에서의 논쟁을 중심으로,차동욱,지방정부연구,2013
P00008359,美國의 Line Item Veto Act 硏究,崔哲榮,미국헌법연구,2002
P00008360,대통령의 법률안거부권에 대한 고찰 ― 미국 제도와의 비교를 중심으로 ―,홍석한,미국헌법연구,2019
P00008388,"중국-대만, 양안 무력 충돌 위기의 함의 -미국의 대만 지원 및 갈등 시나리오를 중심으로-",강준영,한중사회과학연구,2022
P00008389,일본의 반도체전략 특징과 시사점,김규판,오늘의 세계경제,2021
P00008390,탈중국을 위한 대만 남향정책의 지속과 변화: 균형과 편승의 동학,김선재,분석과 대안,2022
P00008391,한·미·일 안보협력과 동북아평화: 중국 대만 갈등 현안을 중심으로,박기철,JPI PeaceNet,2023
P00008392,TSMC-일본 반도체산업 제휴의 산업적 의미와 시사점,서동혁,KIET 산업경제,2021
P00008393,실리콘 네트워크: 일본과 대만의 반도체 기술협력과 외교전략,오승희,국가전략,2023
P00008394,대만 반도체 전략의 주요 내용과 전망,오윤미,세계경제 포커스,2021
P00008395,대만의 신남향정책과 한국의 신남방정책의 비교 연구,이권호,중국지역연구,2021
P00008396,대만 차이잉원 정부 신남향정책의 추진 현황과 평가,이권호,한중사회과학연구,2019
P00008397,한국과 대만의 對아세안 경제정책 비교,이혁구,비교경제연구,2019
P00008398,미· 중 패권경쟁시대의 양안관계 현황,장영희,성균차이나브리프,2021
P00000688,중국의 비공식적 경제 제재,조형진,분석과 대안,2021
P00008399,타이완 정부의 ‘비중국 요인’ 조절과 양대국 사이의 ‘신남향정책’,천신싱,황해문화,2016
